id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET3,FACE_DETECT,0,0,119,1, 0, 0, 121,LINUX,SMALL
1,DATASET3,FACE_DETECT,0,0,24,0, 0, 0, 25,LINUX,SMALL
2,DATASET3,FACE_DETECT,0,0,32,0, 0, 0, 32,LINUX,SMALL
3,DATASET3,FACE_DETECT,0,0,26,0, 0, 0, 26,LINUX,SMALL
4,DATASET3,FACE_DETECT,1,0,27,0, 0, 0, 27,LINUX,SMALL
5,DATASET3,FACE_DETECT,1,0,28,0, 0, 0, 28,LINUX,SMALL
6,DATASET3,FACE_DETECT,0,0,28,0, 0, 0, 29,LINUX,SMALL
7,DATASET3,FACE_DETECT,0,0,30,0, 0, 0, 30,LINUX,SMALL
8,DATASET3,FACE_DETECT,0,0,29,0, 0, 0, 30,LINUX,SMALL
9,DATASET3,FACE_DETECT,1,0,31,0, 0, 0, 31,LINUX,SMALL
10,DATASET3,FACE_DETECT,0,0,31,0, 0, 0, 32,LINUX,SMALL
11,DATASET3,FACE_DETECT,1,0,32,0, 0, 0, 32,LINUX,SMALL
12,DATASET3,FACE_DETECT,1,0,31,0, 0, 0, 32,LINUX,SMALL
13,DATASET3,FACE_DETECT,0,0,31,0, 0, 0, 31,LINUX,SMALL
14,DATASET3,FACE_DETECT,0,0,32,0, 0, 0, 33,LINUX,SMALL
15,DATASET3,FACE_DETECT,1,0,34,0, 0, 0, 34,LINUX,SMALL
16,DATASET3,FACE_DETECT,1,0,34,0, 0, 0, 34,LINUX,SMALL
17,DATASET3,FACE_DETECT,0,0,31,0, 0, 0, 32,LINUX,SMALL
18,DATASET3,FACE_DETECT,0,0,32,0, 0, 0, 32,LINUX,SMALL
19,DATASET3,FACE_DETECT,0,0,34,0, 0, 0, 35,LINUX,SMALL
20,DATASET3,FACE_DETECT,0,0,46,0, 0, 0, 47,LINUX,SMALL
21,DATASET3,FACE_DETECT,1,0,44,0, 0, 0, 45,LINUX,SMALL
22,DATASET3,FACE_DETECT,1,0,41,0, 0, 0, 42,LINUX,SMALL
23,DATASET3,FACE_DETECT,1,0,44,0, 0, 0, 45,LINUX,SMALL
24,DATASET3,FACE_DETECT,1,0,43,0, 0, 0, 43,LINUX,SMALL
25,DATASET3,FACE_DETECT,1,0,43,0, 0, 0, 43,LINUX,SMALL
26,DATASET3,FACE_DETECT,2,0,44,0, 0, 0, 44,LINUX,SMALL
27,DATASET3,FACE_DETECT,1,0,45,0, 0, 0, 45,LINUX,SMALL
28,DATASET3,FACE_DETECT,1,0,44,0, 0, 0, 45,LINUX,SMALL
29,DATASET3,FACE_DETECT,1,0,44,0, 0, 0, 44,LINUX,SMALL
30,DATASET3,FACE_DETECT,1,0,47,0, 0, 0, 47,LINUX,SMALL
31,DATASET3,FACE_DETECT,1,0,48,0, 0, 0, 48,LINUX,SMALL
32,DATASET3,FACE_DETECT,1,0,47,0, 0, 0, 48,LINUX,SMALL
33,DATASET3,FACE_DETECT,1,0,47,0, 0, 0, 47,LINUX,SMALL
34,DATASET3,FACE_DETECT,2,0,37,0, 0, 0, 38,LINUX,SMALL
35,DATASET3,FACE_DETECT,1,0,36,0, 0, 0, 37,LINUX,SMALL
36,DATASET3,FACE_DETECT,1,0,35,0, 0, 0, 36,LINUX,SMALL
37,DATASET3,FACE_DETECT,1,0,36,0, 0, 0, 36,LINUX,SMALL
38,DATASET3,FACE_DETECT,0,0,36,0, 0, 0, 36,LINUX,SMALL
39,DATASET3,FACE_DETECT,0,0,36,0, 0, 0, 36,LINUX,SMALL
40,DATASET3,FACE_DETECT,0,0,36,0, 0, 0, 37,LINUX,SMALL
41,DATASET3,FACE_DETECT,0,0,36,0, 0, 0, 37,LINUX,SMALL
42,DATASET3,FACE_DETECT,1,0,36,0, 0, 0, 37,LINUX,SMALL
43,DATASET3,FACE_DETECT,0,0,37,0, 0, 0, 38,LINUX,SMALL
44,DATASET3,FACE_DETECT,0,0,28,0, 0, 0, 29,LINUX,SMALL
45,DATASET3,FACE_DETECT,0,0,47,0, 0, 0, 47,LINUX,SMALL
46,DATASET3,FACE_DETECT,0,0,29,0, 0, 0, 29,LINUX,SMALL
47,DATASET3,FACE_DETECT,0,0,29,0, 0, 0, 29,LINUX,SMALL
48,DATASET3,FACE_DETECT,1,0,26,0, 0, 0, 27,LINUX,SMALL
49,DATASET3,FACE_DETECT,1,0,28,0, 0, 0, 28,LINUX,SMALL
50,DATASET3,FACE_DETECT,1,0,28,0, 0, 0, 29,LINUX,SMALL
51,DATASET3,FACE_DETECT,0,0,30,0, 0, 0, 30,LINUX,SMALL
52,DATASET3,FACE_DETECT,1,0,29,0, 0, 0, 29,LINUX,SMALL
53,DATASET3,FACE_DETECT,0,0,30,0, 0, 0, 30,LINUX,SMALL
54,DATASET3,FACE_DETECT,0,0,36,0, 0, 0, 36,LINUX,SMALL
55,DATASET3,FACE_DETECT,1,0,37,0, 0, 0, 37,LINUX,SMALL
56,DATASET3,FACE_DETECT,0,0,37,0, 0, 0, 37,LINUX,SMALL
57,DATASET3,FACE_DETECT,0,0,35,0, 0, 0, 35,LINUX,SMALL
58,DATASET3,FACE_DETECT,0,0,36,0, 0, 0, 36,LINUX,SMALL
59,DATASET3,FACE_DETECT,1,0,34,0, 0, 0, 35,LINUX,SMALL
60,DATASET3,FACE_DETECT,1,0,36,0, 0, 0, 36,LINUX,SMALL
61,DATASET3,FACE_DETECT,2,0,36,0, 0, 0, 37,LINUX,SMALL
62,DATASET3,FACE_DETECT,1,0,37,0, 0, 0, 38,LINUX,SMALL
63,DATASET3,FACE_DETECT,0,0,37,0, 0, 0, 38,LINUX,SMALL
64,DATASET3,FACE_DETECT,0,0,36,0, 0, 0, 36,LINUX,SMALL
65,DATASET3,FACE_DETECT,0,0,37,0, 0, 0, 38,LINUX,SMALL
66,DATASET3,FACE_DETECT,2,0,36,0, 0, 0, 36,LINUX,SMALL
67,DATASET3,FACE_DETECT,2,0,34,0, 0, 0, 35,LINUX,SMALL
68,DATASET3,FACE_DETECT,1,0,35,0, 0, 0, 36,LINUX,SMALL
69,DATASET3,FACE_DETECT,0,0,48,0, 0, 0, 49,LINUX,SMALL
70,DATASET3,FACE_DETECT,1,0,37,0, 0, 0, 38,LINUX,SMALL
71,DATASET3,FACE_DETECT,1,0,36,0, 0, 0, 37,LINUX,SMALL
72,DATASET3,FACE_DETECT,0,0,36,0, 0, 0, 37,LINUX,SMALL
73,DATASET3,FACE_DETECT,1,0,36,0, 0, 0, 37,LINUX,SMALL
74,DATASET3,FACE_DETECT,0,0,36,0, 0, 0, 36,LINUX,SMALL
75,DATASET3,FACE_DETECT,0,0,36,0, 0, 0, 36,LINUX,SMALL
76,DATASET3,FACE_DETECT,0,0,36,0, 0, 0, 36,LINUX,SMALL
77,DATASET3,FACE_DETECT,0,0,36,0, 0, 0, 37,LINUX,SMALL
78,DATASET3,FACE_DETECT,0,0,35,0, 0, 0, 35,LINUX,SMALL
79,DATASET3,FACE_DETECT,0,0,35,0, 0, 0, 35,LINUX,SMALL
