id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET2,FACE_DETECT,0,0,205,5, 0, 0, 214,Firefox_91_UNIX,LARGE
1,DATASET2,FACE_DETECT,0,0,250,5, 0, 0, 259,Firefox_91_UNIX,LARGE
2,DATASET2,FACE_DETECT,0,0,253,3, 0, 0, 259,Firefox_91_UNIX,LARGE
3,DATASET2,FACE_DETECT,0,0,253,4, 0, 0, 263,Firefox_91_UNIX,LARGE
4,DATASET2,FACE_DETECT,0,0,623,3, 0, 0, 643,Firefox_91_UNIX,LARGE
5,DATASET2,FACE_DETECT,1,0,640,3, 0, 0, 660,Firefox_91_UNIX,LARGE
6,DATASET2,FACE_DETECT,1,0,696,3, 1, 0, 718,Firefox_91_UNIX,LARGE
7,DATASET2,FACE_DETECT,0,0,541,3, 0, 0, 559,Firefox_91_UNIX,LARGE
8,DATASET2,FACE_DETECT,1,0,853,3, 0, 0, 877,Firefox_91_UNIX,LARGE
9,DATASET2,FACE_DETECT,2,0,651,3, 0, 0, 671,Firefox_91_UNIX,LARGE
10,DATASET2,FACE_DETECT,0,0,535,3, 0, 0, 554,Firefox_91_UNIX,LARGE
11,DATASET2,FACE_DETECT,0,0,577,3, 0, 0, 596,Firefox_91_UNIX,LARGE
12,DATASET2,FACE_DETECT,1,0,571,3, 0, 0, 593,Firefox_91_UNIX,LARGE
13,DATASET2,FACE_DETECT,0,0,617,3, 0, 0, 637,Firefox_91_UNIX,LARGE
14,DATASET2,FACE_DETECT,0,0,812,4, 0, 0, 834,Firefox_91_UNIX,LARGE
15,DATASET2,FACE_DETECT,1,0,876,4, 1, 0, 900,Firefox_91_UNIX,LARGE
16,DATASET2,FACE_DETECT,1,0,830,4, 0, 0, 854,Firefox_91_UNIX,LARGE
17,DATASET2,FACE_DETECT,0,0,550,4, 0, 0, 572,Firefox_91_UNIX,LARGE
18,DATASET2,FACE_DETECT,0,0,770,4, 0, 0, 792,Firefox_91_UNIX,LARGE
19,DATASET2,FACE_DETECT,1,0,846,4, 0, 0, 869,Firefox_91_UNIX,LARGE
20,DATASET2,FACE_DETECT,0,0,827,3, 0, 0, 850,Firefox_91_UNIX,LARGE
21,DATASET2,FACE_DETECT,1,0,706,4, 0, 0, 729,Firefox_91_UNIX,LARGE
22,DATASET2,FACE_DETECT,1,0,747,4, 0, 0, 771,Firefox_91_UNIX,LARGE
23,DATASET2,FACE_DETECT,0,0,883,3, 0, 0, 908,Firefox_91_UNIX,LARGE
24,DATASET2,FACE_DETECT,0,0,931,3, 0, 0, 953,Firefox_91_UNIX,LARGE
25,DATASET2,FACE_DETECT,1,0,562,3, 0, 0, 583,Firefox_91_UNIX,LARGE
26,DATASET2,FACE_DETECT,0,0,560,3, 0, 0, 581,Firefox_91_UNIX,LARGE
27,DATASET2,FACE_DETECT,2,0,860,3, 0, 0, 884,Firefox_91_UNIX,LARGE
28,DATASET2,FACE_DETECT,2,0,758,3, 0, 0, 782,Firefox_91_UNIX,LARGE
29,DATASET2,FACE_DETECT,0,0,783,2, 0, 0, 807,Firefox_91_UNIX,LARGE
30,DATASET2,FACE_DETECT,0,0,789,3, 0, 0, 812,Firefox_91_UNIX,LARGE
31,DATASET2,FACE_DETECT,1,0,766,3, 0, 0, 788,Firefox_91_UNIX,LARGE
32,DATASET2,FACE_DETECT,0,0,838,4, 0, 0, 862,Firefox_91_UNIX,LARGE
33,DATASET2,FACE_DETECT,1,0,814,3, 0, 0, 837,Firefox_91_UNIX,LARGE
34,DATASET2,FACE_DETECT,0,0,823,3, 0, 0, 848,Firefox_91_UNIX,LARGE
35,DATASET2,FACE_DETECT,1,0,788,2, 0, 0, 811,Firefox_91_UNIX,LARGE
36,DATASET2,FACE_DETECT,0,0,794,3, 0, 0, 817,Firefox_91_UNIX,LARGE
37,DATASET2,FACE_DETECT,1,0,750,3, 0, 0, 772,Firefox_91_UNIX,LARGE
38,DATASET2,FACE_DETECT,1,0,789,3, 0, 0, 812,Firefox_91_UNIX,LARGE
39,DATASET2,FACE_DETECT,2,0,789,3, 0, 0, 813,Firefox_91_UNIX,LARGE
40,DATASET2,FACE_DETECT,0,0,805,2, 0, 0, 828,Firefox_91_UNIX,LARGE
41,DATASET2,FACE_DETECT,2,0,762,3, 0, 0, 786,Firefox_91_UNIX,LARGE
42,DATASET2,FACE_DETECT,2,0,863,4, 0, 0, 887,Firefox_91_UNIX,LARGE
43,DATASET2,FACE_DETECT,1,0,836,4, 0, 0, 859,Firefox_91_UNIX,LARGE
44,DATASET2,FACE_DETECT,0,0,842,3, 0, 0, 867,Firefox_91_UNIX,LARGE
45,DATASET2,FACE_DETECT,3,0,759,3, 0, 0, 783,Firefox_91_UNIX,LARGE
46,DATASET2,FACE_DETECT,1,0,789,3, 0, 0, 813,Firefox_91_UNIX,LARGE
47,DATASET2,FACE_DETECT,2,0,783,3, 0, 0, 809,Firefox_91_UNIX,LARGE
48,DATASET2,FACE_DETECT,0,0,755,4, 0, 0, 780,Firefox_91_UNIX,LARGE
49,DATASET2,FACE_DETECT,1,0,788,3, 0, 0, 815,Firefox_91_UNIX,LARGE
50,DATASET2,FACE_DETECT,1,0,772,3, 0, 0, 796,Firefox_91_UNIX,LARGE
51,DATASET2,FACE_DETECT,0,0,929,3, 0, 0, 953,Firefox_91_UNIX,LARGE
