id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET3,FACE_DETECT,0,0,393,1, 0, 0, 411,Chrome_92_Linux,MEDIUM
1,DATASET3,FACE_DETECT,0,0,221,1, 0, 0, 235,Chrome_92_Linux,MEDIUM
2,DATASET3,FACE_DETECT,0,0,385,0, 0, 0, 398,Chrome_92_Linux,MEDIUM
3,DATASET3,FACE_DETECT,2,0,239,1, 0, 0, 251,Chrome_92_Linux,MEDIUM
4,DATASET3,FACE_DETECT,3,0,244,1, 0, 0, 256,Chrome_92_Linux,MEDIUM
5,DATASET3,FACE_DETECT,1,0,244,1, 0, 0, 257,Chrome_92_Linux,MEDIUM
6,DATASET3,FACE_DETECT,1,0,258,1, 0, 0, 269,Chrome_92_Linux,MEDIUM
7,DATASET3,FACE_DETECT,2,0,246,1, 0, 0, 258,Chrome_92_Linux,MEDIUM
8,DATASET3,FACE_DETECT,2,0,244,1, 0, 0, 257,Chrome_92_Linux,MEDIUM
9,DATASET3,FACE_DETECT,2,0,258,1, 0, 0, 269,Chrome_92_Linux,MEDIUM
10,DATASET3,FACE_DETECT,2,0,248,1, 0, 0, 261,Chrome_92_Linux,MEDIUM
11,DATASET3,FACE_DETECT,3,0,242,1, 0, 0, 254,Chrome_92_Linux,MEDIUM
12,DATASET3,FACE_DETECT,3,0,247,1, 0, 0, 259,Chrome_92_Linux,MEDIUM
13,DATASET3,FACE_DETECT,2,0,243,1, 0, 0, 254,Chrome_92_Linux,MEDIUM
14,DATASET3,FACE_DETECT,0,0,244,1, 0, 0, 256,Chrome_92_Linux,MEDIUM
15,DATASET3,FACE_DETECT,1,0,247,1, 0, 0, 263,Chrome_92_Linux,MEDIUM
16,DATASET3,FACE_DETECT,2,0,245,1, 0, 0, 256,Chrome_92_Linux,MEDIUM
17,DATASET3,FACE_DETECT,1,0,243,1, 0, 0, 254,Chrome_92_Linux,MEDIUM
18,DATASET3,FACE_DETECT,2,0,242,1, 0, 0, 254,Chrome_92_Linux,MEDIUM
19,DATASET3,FACE_DETECT,0,0,242,1, 0, 0, 253,Chrome_92_Linux,MEDIUM
20,DATASET3,FACE_DETECT,0,0,194,1, 0, 0, 208,Chrome_92_Linux,MEDIUM
21,DATASET3,FACE_DETECT,1,0,209,1, 0, 0, 221,Chrome_92_Linux,MEDIUM
22,DATASET3,FACE_DETECT,1,0,206,1, 0, 0, 217,Chrome_92_Linux,MEDIUM
23,DATASET3,FACE_DETECT,1,0,194,1, 0, 0, 205,Chrome_92_Linux,MEDIUM
24,DATASET3,FACE_DETECT,3,0,241,1, 0, 0, 254,Chrome_92_Linux,MEDIUM
25,DATASET3,FACE_DETECT,1,0,198,1, 0, 0, 209,Chrome_92_Linux,MEDIUM
26,DATASET3,FACE_DETECT,1,0,197,1, 0, 0, 207,Chrome_92_Linux,MEDIUM
27,DATASET3,FACE_DETECT,1,0,240,1, 0, 0, 252,Chrome_92_Linux,MEDIUM
28,DATASET3,FACE_DETECT,1,0,193,1, 0, 0, 204,Chrome_92_Linux,MEDIUM
29,DATASET3,FACE_DETECT,0,0,182,1, 0, 0, 192,Chrome_92_Linux,MEDIUM
30,DATASET3,FACE_DETECT,2,0,247,1, 0, 0, 259,Chrome_92_Linux,MEDIUM
31,DATASET3,FACE_DETECT,1,0,325,1, 0, 0, 338,Chrome_92_Linux,MEDIUM
32,DATASET3,FACE_DETECT,2,0,238,1, 0, 0, 249,Chrome_92_Linux,MEDIUM
33,DATASET3,FACE_DETECT,1,0,330,0, 0, 0, 342,Chrome_92_Linux,MEDIUM
34,DATASET3,FACE_DETECT,1,0,321,1, 0, 0, 334,Chrome_92_Linux,MEDIUM
35,DATASET3,FACE_DETECT,0,0,240,1, 0, 0, 251,Chrome_92_Linux,MEDIUM
36,DATASET3,FACE_DETECT,1,0,339,1, 0, 0, 351,Chrome_92_Linux,MEDIUM
37,DATASET3,FACE_DETECT,0,0,243,0, 0, 0, 255,Chrome_92_Linux,MEDIUM
38,DATASET3,FACE_DETECT,1,0,245,1, 0, 0, 256,Chrome_92_Linux,MEDIUM
