id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET1,FACE_DETECT,1,0,220,2, 0, 2, 225,LINUX,LARGE
1,DATASET1,FACE_DETECT,0,0,141,2, 0, 1, 145,LINUX,LARGE
2,DATASET1,FACE_DETECT,0,0,155,2, 0, 1, 158,LINUX,LARGE
3,DATASET1,FACE_DETECT,0,0,165,2, 0, 1, 168,LINUX,LARGE
4,DATASET1,FACE_DETECT,0,0,166,2, 0, 1, 169,LINUX,LARGE
5,DATASET1,FACE_DETECT,1,0,169,2, 0, 1, 173,LINUX,LARGE
6,DATASET1,FACE_DETECT,1,0,174,2, 0, 1, 178,LINUX,LARGE
7,DATASET1,FACE_DETECT,0,0,171,3, 0, 1, 175,LINUX,LARGE
8,DATASET1,FACE_DETECT,1,0,184,2, 0, 1, 188,LINUX,LARGE
9,DATASET1,FACE_DETECT,2,0,188,2, 0, 1, 192,LINUX,LARGE
10,DATASET1,FACE_DETECT,1,0,190,2, 0, 1, 194,LINUX,LARGE
11,DATASET1,FACE_DETECT,1,0,194,2, 0, 1, 198,LINUX,LARGE
12,DATASET1,FACE_DETECT,0,0,197,2, 0, 1, 201,LINUX,LARGE
13,DATASET1,FACE_DETECT,1,0,198,2, 0, 1, 202,LINUX,LARGE
14,DATASET1,FACE_DETECT,2,0,187,2, 0, 1, 191,LINUX,LARGE
15,DATASET1,FACE_DETECT,1,0,189,2, 0, 1, 193,LINUX,LARGE
16,DATASET1,FACE_DETECT,0,0,279,2, 0, 1, 283,LINUX,LARGE
17,DATASET1,FACE_DETECT,0,0,268,2, 0, 1, 272,LINUX,LARGE
18,DATASET1,FACE_DETECT,0,0,252,2, 0, 1, 256,LINUX,LARGE
19,DATASET1,FACE_DETECT,1,0,274,2, 0, 1, 278,LINUX,LARGE
20,DATASET1,FACE_DETECT,0,0,295,2, 0, 1, 299,LINUX,LARGE
21,DATASET1,FACE_DETECT,0,0,297,2, 0, 1, 301,LINUX,LARGE
22,DATASET1,FACE_DETECT,1,0,289,2, 0, 1, 293,LINUX,LARGE
23,DATASET1,FACE_DETECT,1,0,284,2, 0, 1, 287,LINUX,LARGE
24,DATASET1,FACE_DETECT,0,0,282,2, 0, 1, 286,LINUX,LARGE
25,DATASET1,FACE_DETECT,0,0,277,2, 0, 1, 281,LINUX,LARGE
26,DATASET1,FACE_DETECT,0,0,279,2, 0, 1, 283,LINUX,LARGE
27,DATASET1,FACE_DETECT,0,0,267,2, 0, 1, 271,LINUX,LARGE
28,DATASET1,FACE_DETECT,0,0,270,2, 0, 1, 274,LINUX,LARGE
29,DATASET1,FACE_DETECT,0,0,270,2, 0, 1, 274,LINUX,LARGE
30,DATASET1,FACE_DETECT,0,0,270,2, 0, 1, 274,LINUX,LARGE
31,DATASET1,FACE_DETECT,0,0,166,2, 0, 1, 170,LINUX,LARGE
32,DATASET1,FACE_DETECT,0,0,189,2, 0, 1, 193,LINUX,LARGE
33,DATASET1,FACE_DETECT,1,0,146,2, 0, 1, 150,LINUX,LARGE
34,DATASET1,FACE_DETECT,0,0,130,2, 0, 1, 134,LINUX,LARGE
35,DATASET1,FACE_DETECT,1,0,140,2, 0, 1, 144,LINUX,LARGE
36,DATASET1,FACE_DETECT,0,0,154,2, 0, 1, 157,LINUX,LARGE
37,DATASET1,FACE_DETECT,0,0,177,2, 0, 1, 180,LINUX,LARGE
38,DATASET1,FACE_DETECT,0,0,171,2, 0, 1, 175,LINUX,LARGE
39,DATASET1,FACE_DETECT,1,0,160,2, 0, 1, 163,LINUX,LARGE
40,DATASET1,FACE_DETECT,1,0,168,2, 0, 1, 172,LINUX,LARGE
41,DATASET1,FACE_DETECT,1,0,165,2, 0, 1, 169,LINUX,LARGE
42,DATASET1,FACE_DETECT,0,0,158,2, 0, 2, 164,LINUX,LARGE
43,DATASET1,FACE_DETECT,1,0,206,2, 0, 1, 210,LINUX,LARGE
44,DATASET1,FACE_DETECT,1,0,205,2, 0, 1, 209,LINUX,LARGE
45,DATASET1,FACE_DETECT,2,0,208,2, 0, 1, 212,LINUX,LARGE
46,DATASET1,FACE_DETECT,1,0,204,2, 0, 1, 208,LINUX,LARGE
47,DATASET1,FACE_DETECT,1,0,207,2, 0, 1, 211,LINUX,LARGE
48,DATASET1,FACE_DETECT,2,0,206,2, 0, 1, 210,LINUX,LARGE
49,DATASET1,FACE_DETECT,2,0,201,2, 0, 1, 205,LINUX,LARGE
50,DATASET1,FACE_DETECT,2,0,203,2, 0, 1, 207,LINUX,LARGE
51,DATASET1,FACE_DETECT,1,0,201,2, 0, 1, 205,LINUX,LARGE
52,DATASET1,FACE_DETECT,2,0,203,2, 0, 1, 207,LINUX,LARGE
53,DATASET1,FACE_DETECT,1,0,203,2, 0, 1, 207,LINUX,LARGE
54,DATASET1,FACE_DETECT,1,0,204,2, 0, 1, 208,LINUX,LARGE
55,DATASET1,FACE_DETECT,1,0,122,2, 0, 1, 126,LINUX,LARGE
56,DATASET1,FACE_DETECT,1,0,126,2, 0, 1, 130,LINUX,LARGE
57,DATASET1,FACE_DETECT,1,0,131,2, 0, 1, 134,LINUX,LARGE
58,DATASET1,FACE_DETECT,1,0,140,2, 0, 1, 144,LINUX,LARGE
59,DATASET1,FACE_DETECT,1,0,137,2, 0, 1, 141,LINUX,LARGE
60,DATASET1,FACE_DETECT,2,0,203,2, 0, 1, 208,LINUX,LARGE
61,DATASET1,FACE_DETECT,0,0,204,2, 0, 1, 208,LINUX,LARGE
62,DATASET1,FACE_DETECT,0,0,200,2, 0, 1, 204,LINUX,LARGE
63,DATASET1,FACE_DETECT,0,0,205,2, 0, 1, 209,LINUX,LARGE
64,DATASET1,FACE_DETECT,0,0,205,2, 0, 1, 209,LINUX,LARGE
65,DATASET1,FACE_DETECT,0,0,203,2, 0, 1, 207,LINUX,LARGE
66,DATASET1,FACE_DETECT,0,0,199,2, 0, 1, 203,LINUX,LARGE
67,DATASET1,FACE_DETECT,0,0,203,2, 0, 1, 207,LINUX,LARGE
68,DATASET1,FACE_DETECT,1,0,199,2, 0, 1, 203,LINUX,LARGE
69,DATASET1,FACE_DETECT,0,0,133,2, 0, 1, 137,LINUX,LARGE
70,DATASET1,FACE_DETECT,1,0,132,2, 0, 1, 136,LINUX,LARGE
71,DATASET1,FACE_DETECT,0,0,137,2, 0, 1, 141,LINUX,LARGE
72,DATASET1,FACE_DETECT,1,0,137,2, 0, 1, 141,LINUX,LARGE
73,DATASET1,FACE_DETECT,0,0,138,2, 0, 1, 142,LINUX,LARGE
74,DATASET1,FACE_DETECT,1,0,134,2, 0, 1, 138,LINUX,LARGE
75,DATASET1,FACE_DETECT,0,0,142,2, 0, 1, 146,LINUX,LARGE
76,DATASET1,FACE_DETECT,1,0,142,2, 0, 1, 146,LINUX,LARGE
77,DATASET1,FACE_DETECT,1,0,140,2, 0, 1, 144,LINUX,LARGE
78,DATASET1,FACE_DETECT,1,0,144,2, 0, 1, 148,LINUX,LARGE
79,DATASET1,FACE_DETECT,1,0,128,2, 0, 1, 132,LINUX,LARGE
80,DATASET1,FACE_DETECT,1,0,128,2, 0, 1, 132,LINUX,LARGE
81,DATASET1,FACE_DETECT,1,0,135,2, 0, 1, 139,LINUX,LARGE
82,DATASET1,FACE_DETECT,2,0,200,2, 0, 1, 204,LINUX,LARGE
83,DATASET1,FACE_DETECT,1,0,206,2, 0, 1, 210,LINUX,LARGE
84,DATASET1,FACE_DETECT,2,0,205,2, 0, 1, 209,LINUX,LARGE
85,DATASET1,FACE_DETECT,2,0,209,2, 0, 1, 213,LINUX,LARGE
86,DATASET1,FACE_DETECT,1,0,201,2, 0, 1, 205,LINUX,LARGE
87,DATASET1,FACE_DETECT,3,0,208,2, 0, 1, 212,LINUX,LARGE
88,DATASET1,FACE_DETECT,1,0,203,2, 0, 1, 207,LINUX,LARGE
89,DATASET1,FACE_DETECT,0,0,206,2, 0, 1, 210,LINUX,LARGE
